courseno,title,year,instructor,timef,times,room
21102904,INTRODUCTION TO DATA SCIENCE,2,Ki Yong Lee,61,53,MyungShin406
21000549,ALGORITHMS,3,Young Hoon Park,32,35,MyungShin403
21000542,OPERATING SYSTEM,3,Suck Jong Yoo,42,55,MyungShin506
21000540,DATA STRUCTURES,2,Young Woo Choi,62,44,Soonhun203
21102908,COMPUTER SYSTEM CONCEPTS,2,Yoon Jin Kim,61,53,Ghawhak604
21001083,MANEGEMENT INFORMATION SYSTEM,2,Hee Jon Chae,31,23,MyungShin406
21002031,NETWORK SECURITY,4,Sook Young Park,71,74,MyungShin403
21102905,DATA MINING AND ANALYSIS,3,Yoon Hee Kim,41,54,MyungShin506
21003183,DATABASE DESIGN AND QUERY LANGUAGE,3,Bong Hee Moon,33,25,Soonhun203
21102910,DIGITAL STORYTELLING,4,Gwang Soo Lee,51,43,Ghawhak604
21003757,MOBILE SOFTWARE,3,Ki Yong Lee,63,45,MyungShin406
21102906,BIG DATA PROCESSING,3,Young Hoon Park,51,43,MyungShin403
21102909,INTERNET OF THINGS SYSTEM,3,Suck Jong Yoo,63,45,MyungShin506
21102907,USER INTERFACE,3,Young Woo Choi,61,53,Soonhun203
21003091,INTRODUCTION TO BIOINFORMATICS,2,Yoon Jin Kim,32,35,Ghawhak604
21002519,SOCIAL MEDIA AND BIG DATA,2,Hee Jon Chae,42,55,MyungShin406
21102911,SOFTWARE EDUCATION,4,Sook Young Park,62,44,MyungShin403
21102903,SOFTWARE ANALYSIS AND DESIGN,3,Yoon Hee Kim,61,53,MyungShin506
21102902,SOFTWARE CONVERGENCE PROJECT,4,Bong Hee Moon,31,23,Soonhun203
21003917,INTRODUCTION TO SOFTWARE,1,Gwang Soo Lee,71,74,Ghawhak604
21103349,CAREER EXPLORATION IN SOFTWARE,1,Jun Ho Shim,41,54,MyungShin406
21000550,ARTIFICIAL INTELLIGENCE,4,Young Hoon Park,33,25,MyungShin403
21102913,INTERNET AND WEB,2,Suck Jong Yoo,51,43,MyungShin506
21102912,INTERACTIVE MEDIA,3,Jong Won Choi,63,45,Soonhun203
21000557,JAVA PROGRAMMING,2,Yoon Jin Kim,51,43,Ghawhak604
21101340,ENTREPRENEURSHIP PRACTICUM,4,Hee Jon Chae,63,45,MyungShin406
21000558,COMPUTER GRAPHICS,2,Sook Young Park,71,74,MyungShin403
21002147,MATHEMATICS FOR COMPUTER SCIENCE,1,Yoon Hee Kim,41,54,MyungShin506
21003735,CLOUD COMPUTING SYSTEMS,3,Bong Hee Moon,33,25,Soonhun203
21002144,INTRODUCTION TO PROGRAMMING,1,Gwang Soo Lee,51,43,Ghawhak604
